month,group,district,count
2012-01,BURGLARY,M,30
2011-06,AUTO THEFTS,M,25
2011-09,PROPERTY DAMAGE,R,20
2013-02,AUTO THEFTS,S,35
2011-07,PERSON DOWN/INJURY,K,19
2011-12,ARREST,NULL,3
2012-07,FRAUD CALLS,99,1
2012-01,BIKE,Q,2
2011-10,PROPERTY DAMAGE,G,24
2013-01,ASSAULTS,B,13
2013-04,FALSE ALARMS,W,55
2013-03,CAR PROWL,L,41
2011-08,"PERSONS - LOST, FOUND, MISSING",J,14
2012-05,BURGLARY,N,38
2013-11,PROPERTY DAMAGE,L,26
2013-02,NARCOTICS COMPLAINTS,N,17
2012-05,SHOPLIFTING,O,18
2013-01,SUSPICIOUS CIRCUMSTANCES,N,198
2013-12,PROWLER,O,1
2012-03,LIQUOR VIOLATIONS,E,149
2013-02,"NUISANCE, MISCHIEF",C,15
2012-01,ACCIDENT INVESTIGATION,O,114
2011-03,"THREATS, HARASSMENT",G,19
2011-01,"NUISANCE, MISCHIEF",M,121
2013-05,LIQUOR VIOLATIONS,K,466
2013-09,LEWD CONDUCT,U,1
2013-10,"NUISANCE, MISCHIEF",L,11
2012-07,HOMICIDE,O,3
2011-12,LEWD CONDUCT,S,1
2013-01,LEWD CONDUCT,B,1
2011-11,ARREST,F,18
2013-11,ANIMAL COMPLAINTS,R,1
2012-08,"PERSONS - LOST, FOUND, MISSING",K,5
2013-04,OTHER PROPERTY,W,33
2012-09,TRAFFIC RELATED CALLS,S,207
2012-06,ASSAULTS,M,42
2011-09,"THREATS, HARASSMENT",L,16
2013-10,OTHER PROPERTY,S,35
2013-04,SUSPICIOUS CIRCUMSTANCES,99,7
2013-01,WEAPONS CALLS,M,2
2013-01,AUTO THEFTS,N,27
2013-08,TRAFFIC RELATED CALLS,N,211
2011-12,"THREATS, HARASSMENT",F,17
2011-06,ARREST,W,4
2011-10,SHOPLIFTING,G,46
2013-06,SUSPICIOUS CIRCUMSTANCES,J,221
2013-03,AUTO THEFTS,E,20
2011-03,"PROPERTY - MISSING, FOUND",R,10
2013-12,ROBBERY,B,3
2011-09,"NUISANCE, MISCHIEF",W,20
2012-06,PROWLER,B,3
2012-07,SUSPICIOUS CIRCUMSTANCES,Q,189
2013-05,MISCELLANEOUS MISDEMEANORS,D,8
2011-12,SUSPICIOUS CIRCUMSTANCES,G,149
2012-02,ARREST,M,50
2012-07,HARBOR CALLS,C,2
2013-06,LIQUOR VIOLATIONS,D,97
2012-09,BIKE,B,6
2011-01,"THREATS, HARASSMENT",L,6
2011-01,PROPERTY DAMAGE,G,22
2012-05,"THREATS, HARASSMENT",S,16
2011-05,TRESPASS,E,38
2013-05,"PROPERTY - MISSING, FOUND",K,17
2011-05,LIQUOR VIOLATIONS,J,22
2013-03,LEWD CONDUCT,J,7
2011-05,ASSAULTS,R,16
2011-11,OTHER PROPERTY,W,29
2013-12,SUSPICIOUS CIRCUMSTANCES,E,174
2011-07,MENTAL HEALTH,S,23
2013-02,OTHER PROPERTY,D,50
2012-01,"PROPERTY - MISSING, FOUND",O,12
2012-09,TRESPASS,W,18
2013-08,MISCELLANEOUS MISDEMEANORS,B,4
2013-02,TRESPASS,NULL,8
2013-03,MISCELLANEOUS MISDEMEANORS,J,1
2012-10,PROPERTY DAMAGE,O,38
2012-12,PROPERTY DAMAGE,B,24
2013-08,MENTAL HEALTH,G,18
2011-10,MISCELLANEOUS MISDEMEANORS,J,2
2013-01,ASSAULTS,C,14
2013-12,LEWD CONDUCT,F,3
2013-01,SHOPLIFTING,M,133
2011-08,HOMICIDE,G,1
2013-04,RECKLESS BURNING,J,1
2011-01,FRAUD CALLS,D,10
2013-11,ARREST,L,3
2011-12,SHOPLIFTING,M,79
2011-11,"PROPERTY - MISSING, FOUND",O,15
2011-10,PROSTITUTION,R,1
2011-03,ARREST,F,17
2012-12,BIKE,U,4
2013-03,FRAUD CALLS,NULL,2
2011-09,LEWD CONDUCT,N,2
2011-02,ASSAULTS,C,13
2013-11,ASSAULTS,E,27
2011-11,ACCIDENT INVESTIGATION,C,76
2011-01,LIQUOR VIOLATIONS,K,427
2011-09,FALSE ALARMS,L,74
2012-06,OTHER PROPERTY,S,22
2013-06,MENTAL HEALTH,F,21
2012-09,FRAUD CALLS,Q,8
2012-08,NARCOTICS COMPLAINTS,K,142
2012-04,SUSPICIOUS CIRCUMSTANCES,S,352
2012-10,LEWD CONDUCT,L,2
2012-03,PROPERTY DAMAGE,M,27
2013-02,HAZARDS,O,7
2011-06,OTHER PROPERTY,NULL,1
2013-11,WEAPONS CALLS,L,1
2011-03,MENTAL HEALTH,W,27
2013-12,ACCIDENT INVESTIGATION,F,2
2013-03,PROWLER,N,3
2011-03,ASSAULTS,Q,11
2011-12,LIQUOR VIOLATIONS,F,3
2011-05,AUTO THEFTS,O,34
2011-08,DISTURBANCES,S,219
2011-09,ASSAULTS,D,50
2013-06,ROBBERY,Q,5
2012-03,FRAUD CALLS,F,10
2013-11,OTHER PROPERTY,F,29
2013-08,LEWD CONDUCT,W,2
2012-06,DISTURBANCES,Q,157
2011-11,BIKE,W,1
2013-10,ANIMAL COMPLAINTS,N,3
2012-08,RECKLESS BURNING,F,2
2012-07,BURGLARY,J,36
2011-09,HARBOR CALLS,U,1
2013-07,OTHER PROPERTY,B,40
2012-12,ACCIDENT INVESTIGATION,L,81
2013-07,BURGLARY,E,34
2011-12,CAR PROWL,U,82
2011-06,"PROPERTY - MISSING, FOUND",J,11
2012-06,WEAPONS CALLS,M,9
2013-11,"NUISANCE, MISCHIEF",L,13
2013-06,"PERSONS - LOST, FOUND, MISSING",N,8
2011-08,MISCELLANEOUS MISDEMEANORS,G,1
2012-11,NARCOTICS COMPLAINTS,L,6
2012-01,DISTURBANCES,O,86
2012-07,HARBOR CALLS,D,4
2012-01,FALSE ALARMS,W,68
2012-08,PROSTITUTION,E,2
2012-07,ASSAULTS,G,20
2012-06,PROPERTY DAMAGE,D,23
2011-09,PERSON DOWN/INJURY,M,28
2012-11,SHOPLIFTING,Q,20
2011-10,"PROPERTY - MISSING, FOUND",U,8
2011-02,LIQUOR VIOLATIONS,B,9
2013-04,"PERSONS - LOST, FOUND, MISSING",S,18
2013-03,TRESPASS,W,12
2011-12,TRESPASS,Q,11
2013-01,LIQUOR VIOLATIONS,B,12
2013-08,PROWLER,U,7
2011-07,LIQUOR VIOLATIONS,U,31
2013-04,PROWLER,M,2
2011-01,MENTAL HEALTH,D,38
2011-11,"PERSONS - LOST, FOUND, MISSING",99,1
2011-06,WEAPONS CALLS,C,3
2013-02,ROBBERY,N,17
2013-12,ANIMAL COMPLAINTS,F,4
2011-07,FALSE ALARMS,M,32
2013-07,CAR PROWL,F,32
2013-03,PERSON DOWN/INJURY,R,4
2013-02,BIKE,N,5
2013-10,"PERSONS - LOST, FOUND, MISSING",B,6
2011-01,NARCOTICS COMPLAINTS,N,21
2011-08,AUTO THEFTS,U,39
2013-04,HAZARDS,M,22
2013-07,NARCOTICS COMPLAINTS,D,26
2012-07,OTHER PROPERTY,O,40
2011-07,AUTO THEFTS,W,30
2012-08,BURGLARY,99,1
2011-09,DRIVE BY (NO INJURY),D,1
2013-04,DISTURBANCES,Q,87
2012-08,PROSTITUTION,F,1
2012-08,TRESPASS,J,18
2012-10,HAZARDS,Q,14
2013-02,ARREST,Q,6
2013-02,PROSTITUTION,NULL,3
2011-11,ACCIDENT INVESTIGATION,R,92
2012-11,ACCIDENT INVESTIGATION,S,63
2011-11,CAR PROWL,C,28
2013-12,ANIMAL COMPLAINTS,U,2
2012-02,LEWD CONDUCT,S,1
2011-11,"PROPERTY - MISSING, FOUND",K,22
2012-06,TRAFFIC RELATED CALLS,M,267
2012-05,ANIMAL COMPLAINTS,K,2
2013-02,SHOPLIFTING,U,29
2012-02,OTHER PROPERTY,R,22
2011-02,BIKE,L,1
2013-11,AUTO THEFTS,C,33
2013-08,PROWLER,L,2
2012-01,BIKE,J,3
2011-02,ACCIDENT INVESTIGATION,99,1
2011-05,AUTO THEFTS,N,29
2011-09,"PROPERTY - MISSING, FOUND",E,16
2011-06,ANIMAL COMPLAINTS,O,2
2011-08,"NUISANCE, MISCHIEF",O,84
2013-11,ROBBERY,G,19
2012-02,PROSTITUTION,D,2
2013-01,CAR PROWL,L,32
2013-03,TRAFFIC RELATED CALLS,NULL,62
2012-06,SHOPLIFTING,L,56
2011-06,PROSTITUTION,M,3
2012-12,OTHER VICE,S,1
2011-01,PROSTITUTION,M,3
2012-03,ASSAULTS,R,8
2012-08,"PERSONS - LOST, FOUND, MISSING",M,8
2011-12,PROPERTY DAMAGE,G,21
2011-01,CAR PROWL,F,25
2013-10,TRESPASS,J,16
2013-10,PROWLER,S,2
2011-04,BIKE,S,2
2013-04,MENTAL HEALTH,W,17
2011-02,PROPERTY DAMAGE,M,27
2013-08,FRAUD CALLS,Q,8
2012-09,ASSAULTS,D,39
2013-04,ARREST,B,8
2012-12,MISCELLANEOUS MISDEMEANORS,E,3
2013-06,ARREST,M,31
2012-03,"PROPERTY - MISSING, FOUND",L,5
2013-03,DISTURBANCES,M,339
2012-06,"PROPERTY - MISSING, FOUND",E,8
2011-07,OTHER PROPERTY,O,48
2012-02,ANIMAL COMPLAINTS,W,6
2011-04,SHOPLIFTING,K,76
2013-10,OTHER PROPERTY,M,75
2012-02,OTHER PROPERTY,F,35
2012-04,HARBOR CALLS,U,2
2012-04,CAR PROWL,M,118
2012-03,PROWLER,D,2
2011-08,FRAUD CALLS,O,12
2013-06,TRESPASS,E,65
2013-02,ACCIDENT INVESTIGATION,E,71
2012-07,CAR PROWL,D,64
2012-05,NARCOTICS COMPLAINTS,D,29
2012-11,ARREST,L,19
2013-08,LIQUOR VIOLATIONS,B,30
2011-08,WEAPONS CALLS,U,3
2012-02,"NUISANCE, MISCHIEF",S,21
2012-03,RECKLESS BURNING,Q,2
2011-05,BIKE,O,1
2011-01,WEAPONS CALLS,M,4
2011-11,PROPERTY DAMAGE,Q,25
2013-08,"PROPERTY - MISSING, FOUND",B,18
2013-08,ASSAULTS,N,24
2013-09,HAZARDS,L,32
2012-12,TRAFFIC RELATED CALLS,NULL,63
2013-10,HAZARDS,L,13
2011-06,LIQUOR VIOLATIONS,J,34
2012-12,ARREST,F,9
2012-11,ROBBERY,J,4
2013-09,SHOPLIFTING,W,15
2012-08,"PROPERTY - MISSING, FOUND",99,1
2012-01,NARCOTICS COMPLAINTS,N,18
2011-11,LIQUOR VIOLATIONS,K,420
2012-05,CAR PROWL,U,34
2011-02,PERSON DOWN/INJURY,L,9
2011-05,ACCIDENT INVESTIGATION,K,69
2013-02,SUSPICIOUS CIRCUMSTANCES,U,255
2012-04,"PERSONS - LOST, FOUND, MISSING",N,7
2011-01,"PERSONS - LOST, FOUND, MISSING",B,5
2011-11,"PROPERTY - MISSING, FOUND",W,11
2013-04,MISCELLANEOUS MISDEMEANORS,B,2
2012-03,ANIMAL COMPLAINTS,J,1
2013-12,PROWLER,J,1
2012-10,BIKE,M,5
2011-08,PERSON DOWN/INJURY,N,20
2013-01,"THREATS, HARASSMENT",C,14
2011-11,"PERSONS - LOST, FOUND, MISSING",O,3
2011-09,OTHER PROPERTY,E,40
2011-11,BIKE,R,1
2013-08,"THREATS, HARASSMENT",O,9
2012-03,LIQUOR VIOLATIONS,Q,36
2012-06,PROPERTY DAMAGE,N,29
2013-11,ASSAULTS,C,10
2011-11,ACCIDENT INVESTIGATION,E,96
2013-03,ASSAULTS,M,50
2011-01,ASSAULTS,99,1
2013-03,TRESPASS,M,137
2011-06,"THREATS, HARASSMENT",W,14
2013-08,"NUISANCE, MISCHIEF",NULL,1
2011-08,OTHER PROPERTY,J,43
2013-10,BIKE,F,3
2013-06,FRAUD CALLS,K,11
2011-09,MENTAL HEALTH,C,25
2013-12,"PERSONS - LOST, FOUND, MISSING",U,1
2012-07,FALSE ALARMS,D,45
2012-02,OTHER VICE,M,2
2011-04,FALSE ALARMS,S,41
2011-01,TRAFFIC RELATED CALLS,O,436
2011-04,"PERSONS - LOST, FOUND, MISSING",G,3
2013-03,LIQUOR VIOLATIONS,E,102
2013-12,DISTURBANCES,O,55
2011-05,MISCELLANEOUS MISDEMEANORS,O,4
2013-04,"NUISANCE, MISCHIEF",N,6
2013-06,"NUISANCE, MISCHIEF",C,32
2013-07,PROPERTY DAMAGE,N,30
2012-05,OTHER VICE,C,2
2013-04,ARREST,E,35
2011-03,PERSON DOWN/INJURY,C,7
2013-05,"NUISANCE, MISCHIEF",N,17
2011-01,"PROPERTY - MISSING, FOUND",C,11
2011-11,OTHER VICE,U,2
2012-11,ROBBERY,Q,4
2011-07,ROBBERY,E,9
2013-07,FALSE ALARMS,F,40
2011-10,ANIMAL COMPLAINTS,J,7
2013-06,ASSAULTS,D,28
2011-08,PROPERTY DAMAGE,J,32
2011-03,LEWD CONDUCT,E,3
2012-10,PROWLER,N,3
2011-02,HOMICIDE,W,1
2012-11,DISTURBANCES,D,206
2013-02,HARBOR CALLS,B,1
2013-08,LIQUOR VIOLATIONS,E,99
2012-02,PROPERTY DAMAGE,M,25
2012-05,OTHER PROPERTY,G,34
2013-09,FALSE ALARMS,L,82
2013-01,CAR PROWL,S,23
2011-05,"PROPERTY - MISSING, FOUND",99,1
2013-05,HAZARDS,L,26
2012-05,"NUISANCE, MISCHIEF",U,23
2011-03,BURGLARY,C,37
2013-10,HAZARDS,O,27
2011-11,ANIMAL COMPLAINTS,G,3
2013-05,PERSON DOWN/INJURY,NULL,1
2013-10,ACCIDENT INVESTIGATION,R,1
2013-11,CAR PROWL,U,54
2013-08,PROWLER,S,2
2011-11,LEWD CONDUCT,J,4
2013-08,TRESPASS,F,11
2012-08,SUSPICIOUS CIRCUMSTANCES,NULL,21
2011-06,HAZARDS,C,6
2011-06,OTHER PROPERTY,N,45
2012-12,FALSE ALARMS,R,71
2013-07,ROBBERY,F,9
2011-04,ACCIDENT INVESTIGATION,99,1
2011-06,FAILURE TO REGISTER (SEX OFFENDER),S,1
2012-04,ACCIDENT INVESTIGATION,N,109
2013-12,ANIMAL COMPLAINTS,K,5
2011-10,OTHER PROPERTY,U,59
2013-03,SHOPLIFTING,E,22
2013-03,MENTAL HEALTH,NULL,2
2012-07,TRAFFIC RELATED CALLS,Q,232
2013-02,HARBOR CALLS,M,1
2012-09,RECKLESS BURNING,O,1
2011-05,"NUISANCE, MISCHIEF",Q,26
2012-04,FALSE ALARMS,E,10
2012-03,BURGLARY,S,59
2011-11,NARCOTICS COMPLAINTS,99,2
2013-11,"PROPERTY - MISSING, FOUND",N,20
2011-04,ROBBERY,J,1
2011-05,ACCIDENT INVESTIGATION,S,76
2013-10,ASSAULTS,S,17
2011-08,BURGLARY,D,44
2011-08,SHOPLIFTING,E,26
2012-06,SHOPLIFTING,S,30
2011-05,TRAFFIC RELATED CALLS,K,300
2012-05,NARCOTICS COMPLAINTS,C,10
2013-07,PROSTITUTION,J,6
2012-06,"PROPERTY - MISSING, FOUND",G,8
2011-04,TRAFFIC RELATED CALLS,W,230
2013-08,PROWLER,J,2
2011-03,DISTURBANCES,W,102
2013-07,WEAPONS CALLS,E,10
2011-02,NARCOTICS COMPLAINTS,F,10
2012-12,PROWLER,C,2
2012-07,WEAPONS CALLS,R,6
2013-04,PERSON DOWN/INJURY,E,8
2012-08,BIKE,D,3
2011-10,"THREATS, HARASSMENT",R,12
2012-09,BURGLARY,F,42
2013-06,TRESPASS,G,17
2012-06,FALSE ALARMS,S,55
2013-05,TRESPASS,N,29
2013-09,ACCIDENT INVESTIGATION,J,2
2013-05,AUTO THEFTS,F,24
2013-10,ANIMAL COMPLAINTS,U,4
2013-03,FRAUD CALLS,O,10
2011-07,FALSE ALARMS,G,58
2013-10,AUTO THEFTS,W,32
2011-09,TRAFFIC RELATED CALLS,O,307
2013-05,PERSON DOWN/INJURY,W,4
2013-03,NARCOTICS COMPLAINTS,M,162
2013-12,TRESPASS,K,57
2011-09,SHOPLIFTING,R,6
2012-02,HAZARDS,S,5
2012-09,FRAUD CALLS,C,13
2011-11,ROBBERY,B,2
2012-11,ANIMAL COMPLAINTS,O,4
2011-06,OTHER PROPERTY,K,77
2011-06,TRAFFIC RELATED CALLS,NULL,2
2011-06,SUSPICIOUS CIRCUMSTANCES,D,232
2012-12,ACCIDENT INVESTIGATION,S,98
2011-05,BIKE,N,4
2011-07,PERSON DOWN/INJURY,O,12
2011-01,AUTO THEFTS,K,7
2011-10,CAR PROWL,N,66
2013-06,SHOPLIFTING,O,14
2012-11,"THREATS, HARASSMENT",K,17
2013-01,LIQUOR VIOLATIONS,G,9
2011-01,"THREATS, HARASSMENT",Q,9
2011-04,HAZARDS,B,9
2012-04,LIQUOR VIOLATIONS,E,174
2011-06,HAZARDS,L,7
2013-09,"NUISANCE, MISCHIEF",S,11
2013-10,HAZARDS,N,20
2012-06,"PERSONS - LOST, FOUND, MISSING",N,7
2013-09,PROPERTY DAMAGE,U,21
2012-01,MENTAL HEALTH,NULL,1
2012-07,HAZARDS,99,1
2012-12,RECKLESS BURNING,C,1
2012-03,SUSPICIOUS CIRCUMSTANCES,N,245
2011-03,AUTO THEFTS,N,27
2012-02,OTHER PROPERTY,M,66
2011-02,FAILURE TO REGISTER (SEX OFFENDER),L,2
2011-01,SUSPICIOUS CIRCUMSTANCES,L,260
2011-11,ACCIDENT INVESTIGATION,G,53
2011-06,LIQUOR VIOLATIONS,S,9
2013-06,"THREATS, HARASSMENT",L,18
2013-08,"PROPERTY - MISSING, FOUND",D,28
2013-04,"NUISANCE, MISCHIEF",D,61
2012-07,"PERSONS - LOST, FOUND, MISSING",N,10
2013-08,PROSTITUTION,S,1
2011-03,MISCELLANEOUS MISDEMEANORS,D,2
2013-12,PROWLER,D,3
2012-05,SHOPLIFTING,R,6
2011-12,"PROPERTY - MISSING, FOUND",S,10
2013-07,"NUISANCE, MISCHIEF",Q,41
2011-06,ASSAULTS,J,16
2013-05,"NUISANCE, MISCHIEF",D,51
2012-11,ARREST,99,6
2011-03,ARREST,N,27
2012-09,TRESPASS,M,53
2013-03,LIQUOR VIOLATIONS,G,14
2013-09,PROWLER,B,4
2013-12,PROWLER,S,2
2011-11,ACCIDENT INVESTIGATION,W,62
2012-12,AUTO THEFTS,D,18
2013-02,CAR PROWL,D,57
2011-04,BURGLARY,S,42
2012-06,ARREST,99,10
2013-11,PERSON DOWN/INJURY,U,4
2013-02,NARCOTICS COMPLAINTS,M,154
2011-01,ASSAULTS,O,19
2013-12,"PROPERTY - MISSING, FOUND",G,10
2011-05,AUTO THEFTS,M,15
2011-05,PROPERTY DAMAGE,M,23
2013-12,"NUISANCE, MISCHIEF",U,25
2012-02,CAR PROWL,G,16
2012-04,SUSPICIOUS CIRCUMSTANCES,C,218
2013-07,TRESPASS,W,19
2012-11,ROBBERY,M,15
2011-07,"PERSONS - LOST, FOUND, MISSING",Q,7
2011-01,LIQUOR VIOLATIONS,W,4
2012-08,CAR PROWL,O,8
2012-08,BIKE,R,2
2011-05,ANIMAL COMPLAINTS,S,7
2012-03,ASSAULTS,W,6
2012-10,DISTURBANCES,F,138
2011-03,AUTO THEFTS,D,8
2011-06,PROPERTY DAMAGE,F,21
2013-05,WEAPONS CALLS,O,3
2011-01,CAR PROWL,S,25
2013-06,PROSTITUTION,B,1
2011-01,NARCOTICS COMPLAINTS,M,176
2011-08,LIQUOR VIOLATIONS,L,30
2012-05,PROPERTY DAMAGE,M,44
2013-07,WEAPONS CALLS,S,2
2013-09,AUTO THEFTS,R,26
2013-07,FALSE ALARMS,D,41
2013-05,"PERSONS - LOST, FOUND, MISSING",M,6
2012-05,"NUISANCE, MISCHIEF",K,65
2011-08,BURGLARY,R,43
2012-09,ROBBERY,K,18
2011-11,PROWLER,W,1
2012-08,ROBBERY,W,4
2011-03,ASSAULTS,G,11
2013-09,CAR PROWL,R,37
2013-04,DISTURBANCES,D,193
2011-05,"PROPERTY - MISSING, FOUND",B,10
2012-07,PROPERTY DAMAGE,U,32
2012-05,"THREATS, HARASSMENT",O,19
2013-01,FALSE ALARMS,B,56
2011-04,SHOPLIFTING,O,16
2012-04,"PROPERTY - MISSING, FOUND",S,4
2013-09,WEAPONS CALLS,C,1
2011-04,PERSON DOWN/INJURY,E,8
2013-10,"PERSONS - LOST, FOUND, MISSING",S,8
2012-04,LIQUOR VIOLATIONS,B,27
2012-03,SUSPICIOUS CIRCUMSTANCES,J,236
2011-01,NARCOTICS COMPLAINTS,K,173
2011-01,ASSAULTS,J,9
2011-09,NARCOTICS COMPLAINTS,F,8
2013-07,ARREST,99,4
2012-07,FALSE ALARMS,K,47
2011-06,"PROPERTY - MISSING, FOUND",O,12
2011-07,SHOPLIFTING,C,11
2011-10,DISTURBANCES,M,346
2011-09,OTHER PROPERTY,C,27
2012-07,ASSAULTS,K,68
2013-09,ROBBERY,U,7
2011-03,MENTAL HEALTH,D,40
2012-02,PROPERTY DAMAGE,B,31
2013-12,DISTURBANCES,Q,68
2011-05,CAR PROWL,O,46
2012-01,ACCIDENT INVESTIGATION,B,73
2011-05,BURGLARY,N,46
2011-04,CAR PROWL,C,26
2013-05,SUSPICIOUS CIRCUMSTANCES,S,190
2011-03,FALSE ALARMS,U,46
2011-05,MISCELLANEOUS MISDEMEANORS,J,5
2012-04,ACCIDENT INVESTIGATION,W,69
2012-10,AUTO THEFTS,NULL,1
2013-03,PERSON DOWN/INJURY,J,8
2012-11,DISTURBANCES,L,143
2011-04,PROSTITUTION,L,1
2011-05,PERSON DOWN/INJURY,L,16
2013-08,ASSAULTS,U,22
2011-06,ROBBERY,R,13
2011-05,FRAUD CALLS,F,17
2012-09,FALSE ALARMS,B,46
2013-06,ASSAULTS,R,11
2011-05,HARBOR CALLS,B,2
2012-03,PROPERTY DAMAGE,B,25
2011-10,ARREST,F,16
2012-05,LEWD CONDUCT,L,3
2012-09,RECKLESS BURNING,N,1
2011-01,ACCIDENT INVESTIGATION,J,84
2011-07,CAR PROWL,K,46
2011-01,PERSON DOWN/INJURY,U,6
2011-12,"PERSONS - LOST, FOUND, MISSING",G,10
2011-02,PROPERTY DAMAGE,D,22
2011-11,LIQUOR VIOLATIONS,N,8
2011-06,NARCOTICS COMPLAINTS,F,8
2013-09,LIQUOR VIOLATIONS,S,10
2013-06,"THREATS, HARASSMENT",U,10
2013-08,HAZARDS,N,29
2011-04,HAZARDS,W,14
2013-09,PROSTITUTION,D,6
2011-03,BIKE,B,2
2013-04,TRESPASS,J,32
2011-05,PROSTITUTION,G,2
2011-10,OTHER PROPERTY,N,60
2013-08,AUTO THEFTS,W,24
2011-02,TRAFFIC RELATED CALLS,K,387
2012-03,ASSAULTS,K,47
2013-01,MISCELLANEOUS MISDEMEANORS,N,5
2011-02,TRESPASS,G,19
2013-07,DISTURBANCES,C,284
2011-07,SHOPLIFTING,K,93
2011-07,ASSAULTS,K,45
2011-05,"PERSONS - LOST, FOUND, MISSING",Q,9
2011-07,OTHER VICE,J,1
2012-05,"PROPERTY - MISSING, FOUND",N,21
2011-05,TRESPASS,F,3
2011-08,"PROPERTY - MISSING, FOUND",G,12
2012-01,PERSON DOWN/INJURY,M,20
2012-11,CAR PROWL,G,21
2012-02,AUTO THEFTS,W,26
2013-05,SHOPLIFTING,L,41
2011-04,SUSPICIOUS CIRCUMSTANCES,Q,161
2012-07,ROBBERY,D,8
2011-05,OTHER PROPERTY,B,23
2013-04,ANIMAL COMPLAINTS,R,3
2012-03,AUTO THEFTS,G,25
2011-01,"THREATS, HARASSMENT",F,13
2013-09,SUSPICIOUS CIRCUMSTANCES,F,229
2012-11,WEAPONS CALLS,C,1
2011-12,"NUISANCE, MISCHIEF",W,14
2013-07,"PERSONS - LOST, FOUND, MISSING",R,12
2012-07,"THREATS, HARASSMENT",M,18
2012-09,ROBBERY,S,13
2011-10,ASSAULTS,W,8
2011-11,PROPERTY DAMAGE,S,20
2013-02,WEAPONS CALLS,K,6
2012-03,SUSPICIOUS CIRCUMSTANCES,L,262
2012-04,BURGLARY,U,35
2013-03,BURGLARY,M,24
2012-09,PROWLER,M,2
2013-09,"PERSONS - LOST, FOUND, MISSING",M,16
2012-04,PROSTITUTION,R,2
2011-10,ARREST,W,9
2013-08,WEAPONS CALLS,M,7
2013-09,"NUISANCE, MISCHIEF",U,33
2013-01,ROBBERY,M,15
2011-11,"PROPERTY - MISSING, FOUND",D,18
2012-05,DISTURBANCES,K,273
2011-02,ACCIDENT INVESTIGATION,S,46
2013-11,FRAUD CALLS,R,13
2012-02,ANIMAL COMPLAINTS,M,1
2013-06,BURGLARY,F,31
2011-05,BURGLARY,F,38
2012-10,TRAFFIC RELATED CALLS,U,203
2011-05,"NUISANCE, MISCHIEF",G,13
2013-08,NARCOTICS COMPLAINTS,W,7
2011-02,CAR PROWL,S,22
2013-11,ASSAULTS,O,16
2011-10,BURGLARY,B,38
2011-07,"PERSONS - LOST, FOUND, MISSING",R,3
2012-12,PROWLER,B,3
2012-08,NARCOTICS COMPLAINTS,E,27
2012-10,"THREATS, HARASSMENT",L,19
2011-04,WEAPONS CALLS,U,2
2013-11,MISCELLANEOUS MISDEMEANORS,O,1
2011-09,FALSE ALARMS,K,31
2013-02,AUTO THEFTS,B,30
2012-05,DISTURBANCES,R,156
2013-09,ASSAULTS,O,11
2012-12,"NUISANCE, MISCHIEF",S,5
2012-11,MISCELLANEOUS MISDEMEANORS,R,1
2012-06,LIQUOR VIOLATIONS,B,16
2013-08,CAR PROWL,K,67
2012-03,"THREATS, HARASSMENT",E,8
2012-11,TRAFFIC RELATED CALLS,U,155
2013-07,SHOPLIFTING,B,32
2011-09,ASSAULTS,N,20
2012-01,"THREATS, HARASSMENT",M,19
2013-12,NARCOTICS COMPLAINTS,W,3
2013-02,CAR PROWL,B,46
2012-03,HAZARDS,D,23
2013-08,AUTO THEFTS,E,31
2012-06,CAR PROWL,L,29
2012-01,FRAUD CALLS,J,21
2012-11,NARCOTICS COMPLAINTS,F,15
2013-02,SHOPLIFTING,F,9
2012-09,MENTAL HEALTH,99,1
2011-03,"THREATS, HARASSMENT",Q,14
2013-12,ROBBERY,C,4
2013-04,NARCOTICS COMPLAINTS,F,13
2011-05,PROPERTY DAMAGE,C,26
2013-07,BURGLARY,O,25
2011-05,WEAPONS CALLS,N,1
2011-06,BURGLARY,N,41
2012-01,MENTAL HEALTH,S,30
2011-02,SHOPLIFTING,N,51
2013-03,TRAFFIC RELATED CALLS,D,208
2012-03,FALSE ALARMS,Q,70
2013-06,PERSON DOWN/INJURY,S,7
2013-12,PERSON DOWN/INJURY,Q,8
2011-06,LIQUOR VIOLATIONS,K,488
2013-06,ACCIDENT INVESTIGATION,F,72
2011-08,"NUISANCE, MISCHIEF",E,23
2012-12,ROBBERY,D,8
2011-11,"PROPERTY - MISSING, FOUND",U,7
2011-07,OTHER PROPERTY,J,57
2011-08,BIKE,N,7
2011-01,"NUISANCE, MISCHIEF",R,2
2011-08,"PERSONS - LOST, FOUND, MISSING",N,5
2011-03,PROPERTY DAMAGE,B,25
2011-10,MENTAL HEALTH,M,76
2013-06,ARREST,B,3
2011-11,PERSON DOWN/INJURY,S,3
2013-03,NARCOTICS COMPLAINTS,W,6
2012-10,CAR PROWL,Q,30
2011-12,PROWLER,W,2
2013-09,ANIMAL COMPLAINTS,D,9
2011-06,DRIVE BY (NO INJURY),R,2
2013-12,ARREST,G,4
2013-04,ACCIDENT INVESTIGATION,E,67
2013-09,MENTAL HEALTH,L,27
2012-11,OTHER PROPERTY,D,62
2011-12,OTHER PROPERTY,M,64
2011-04,TRAFFIC RELATED CALLS,S,181
2013-09,OTHER PROPERTY,G,39
2013-07,HOMICIDE,F,1
2011-03,"PROPERTY - MISSING, FOUND",O,12
2012-06,MISCELLANEOUS MISDEMEANORS,S,2
